id,lead_id,configuration,booking_date,agreement_value,brokerage_amount
7001,1002,2 BHK,2026-01-02,5800000,87000.0
7002,1010,3 BHK,2026-01-03,6175000,108062.5
7003,1016,4 BHK,2026-01-04,6550000,131000.0
7004,1025,1 BHK,2026-01-05,6925000,155812.5
7005,1034,2 BHK,2026-01-06,7300000,109500.0
7006,1043,3 BHK,2026-01-07,7675000,134312.5
7007,1052,4 BHK,2026-01-08,8050000,161000.0
7008,1061,1 BHK,2026-01-09,8425000,189562.5
7009,1070,2 BHK,2026-01-10,8800000,132000.0
7010,1079,3 BHK,2026-01-11,9175000,160562.5
7011,1088,4 BHK,2026-01-12,9550000,191000.0
7012,1097,1 BHK,2026-01-13,9925000,223312.5
7013,1106,2 BHK,2026-01-14,10300000,154500.0
7014,1115,3 BHK,2026-01-15,10675000,186812.5
7015,1124,4 BHK,2026-01-16,11050000,221000.0
7016,1133,1 BHK,2026-01-17,11425000,257062.5
7017,1142,2 BHK,2026-01-18,11800000,177000.0
7018,1151,3 BHK,2026-01-19,12175000,213062.5
7019,1160,4 BHK,2026-01-20,12550000,251000.0
7020,1169,1 BHK,2026-01-21,12925000,290812.5
7021,1178,2 BHK,2026-01-22,13300000,199500.0
7022,1187,3 BHK,2026-01-23,13675000,239312.5
7023,1196,4 BHK,2026-01-24,14050000,281000.0
7024,1205,1 BHK,2026-01-25,14425000,324562.5
7025,1214,2 BHK,2026-01-26,14800000,222000.0
7026,1223,3 BHK,2026-01-27,15175000,265562.5
7027,1232,4 BHK,2026-01-28,15550000,311000.0
7028,1241,1 BHK,2026-01-29,15925000,358312.5
7029,1250,2 BHK,2026-01-30,16300000,244500.0
7030,1259,3 BHK,2026-01-31,16675000,291812.5
7031,1268,4 BHK,2026-02-01,17050000,341000.0
7032,1277,1 BHK,2026-02-02,17425000,392062.5
7033,1286,2 BHK,2026-02-03,17800000,267000.0
7034,1295,3 BHK,2026-02-04,18175000,318062.5
7035,1304,4 BHK,2026-02-05,18550000,371000.0
7036,1313,1 BHK,2026-02-06,18925000,425812.5
7037,1322,2 BHK,2026-02-07,19300000,289500.0
7038,1331,3 BHK,2026-02-08,19675000,344312.5
7039,1340,4 BHK,2026-02-09,20050000,401000.0
7040,1349,1 BHK,2026-02-10,20425000,459562.5
7041,1358,2 BHK,2026-02-11,20800000,312000.0
7042,1367,3 BHK,2026-02-12,21175000,370562.5
7043,1376,4 BHK,2026-02-13,21550000,431000.0
7044,1385,1 BHK,2026-02-14,21925000,493312.5
7045,1394,2 BHK,2026-02-15,22300000,334500.0
7046,1403,3 BHK,2026-02-16,22675000,396812.5
7047,1412,4 BHK,2026-02-17,23050000,461000.0
7048,1421,1 BHK,2026-02-18,23425000,527062.5
7049,1430,2 BHK,2026-02-19,23800000,357000.0
7050,1439,3 BHK,2026-02-20,24175000,423062.5
7051,1448,4 BHK,2026-02-21,24550000,491000.0
7052,1457,1 BHK,2026-02-22,24925000,560812.5
7053,1466,2 BHK,2026-02-23,25300000,379500.0
7054,1475,3 BHK,2026-02-24,25675000,449312.5
7055,1484,4 BHK,2026-02-25,26050000,521000.0
7056,1493,1 BHK,2026-02-26,26425000,594562.5
7057,1502,2 BHK,2026-02-27,26800000,402000.0
7058,1511,3 BHK,2026-02-28,27175000,475562.5
7059,1520,4 BHK,2026-03-01,27550000,551000.0
7060,1529,1 BHK,2026-03-02,27925000,628312.5
7061,1538,2 BHK,2026-03-03,28300000,424500.0
7062,1547,3 BHK,2026-03-04,28675000,501812.5
7063,1556,4 BHK,2026-03-05,29050000,581000.0
7064,1565,1 BHK,2026-03-06,29425000,662062.5
7065,1574,2 BHK,2026-03-07,5800000,87000.0
