id,project_id,configuration,total_units,available_units
301,101,1 BHK,72,50
302,102,2 BHK,91,19
303,103,3 BHK,110,30
304,104,4 BHK,129,41
305,105,Studio,148,52
306,106,Retail Shop,167,63
307,107,1 BHK,186,74
308,108,2 BHK,205,13
309,109,3 BHK,224,24
310,110,4 BHK,243,35
311,111,Studio,262,46
312,112,Retail Shop,281,57
313,113,1 BHK,300,68
314,114,2 BHK,89,79
315,115,3 BHK,108,18
316,116,4 BHK,127,29
317,117,Studio,146,40
318,118,Retail Shop,165,93
319,119,1 BHK,184,62
320,120,2 BHK,203,73
321,121,3 BHK,222,12
322,122,4 BHK,241,23
323,123,Studio,260,34
324,124,Retail Shop,279,45
325,125,1 BHK,298,56
326,126,2 BHK,87,67
327,127,3 BHK,106,78
328,128,4 BHK,125,17
329,129,Studio,144,28
330,130,Retail Shop,163,39
331,131,1 BHK,182,50
332,132,2 BHK,201,61
333,133,3 BHK,220,72
334,134,4 BHK,239,11
335,135,Studio,258,64
336,136,Retail Shop,277,33
337,137,1 BHK,296,44
338,138,2 BHK,85,55
339,139,3 BHK,104,66
340,140,4 BHK,123,77
341,141,Studio,142,16
342,142,Retail Shop,161,27
343,143,1 BHK,180,38
344,144,2 BHK,199,49
345,145,3 BHK,218,60
346,146,4 BHK,237,71
347,147,Studio,256,10
348,148,Retail Shop,275,21
349,149,1 BHK,294,32
350,150,2 BHK,83,43
351,151,3 BHK,102,54
352,152,4 BHK,121,107
353,153,Studio,140,76
354,154,Retail Shop,159,15
355,155,1 BHK,178,26
356,156,2 BHK,197,37
357,157,3 BHK,216,48
358,158,4 BHK,235,59
359,159,Studio,254,70
360,160,Retail Shop,273,9
361,161,1 BHK,292,20
362,162,2 BHK,81,31
363,163,3 BHK,100,42
364,164,4 BHK,119,53
365,165,Studio,138,64
366,166,Retail Shop,157,75
367,167,1 BHK,176,14
368,168,2 BHK,195,25
369,169,3 BHK,214,78
370,170,4 BHK,233,47
371,171,Studio,252,58
372,172,Retail Shop,271,69
373,173,1 BHK,290,8
374,174,2 BHK,79,19
375,175,3 BHK,98,30
376,176,4 BHK,117,41
377,177,Studio,136,52
378,178,Retail Shop,155,63
379,179,1 BHK,174,74
380,180,2 BHK,193,13
381,181,3 BHK,212,24
382,182,4 BHK,231,35
383,183,Studio,250,46
384,184,Retail Shop,269,57
385,185,1 BHK,288,68
386,186,2 BHK,77,77
387,187,3 BHK,96,18
388,188,4 BHK,115,29
389,189,Studio,134,40
390,190,Retail Shop,153,51
391,191,1 BHK,172,62
392,192,2 BHK,191,73
393,193,3 BHK,210,12
394,194,4 BHK,229,23
395,195,Studio,248,34
396,196,Retail Shop,267,45
397,197,1 BHK,286,56
398,198,2 BHK,75,67
399,199,3 BHK,94,78
400,200,4 BHK,113,17
