id,lead_id,visit_date_time,status,visit_note
8001,1002,2026-01-03 10:00:00,done,Completed site visit before booking conversion.
8002,1005,2026-01-04 11:15:00,done,Completed site visit; buyer moved into final negotiation.
8003,1007,2026-01-05 12:30:00,done,Completed site visit; lead moved to Visit Done.
8004,1010,2026-01-06 13:45:00,done,Completed site visit before booking conversion.
8005,1014,2026-01-07 14:00:00,done,Completed site visit; lead moved to Visit Done.
8006,1015,2026-01-08 15:15:00,done,Completed site visit; buyer moved into final negotiation.
8007,1016,2026-01-09 16:30:00,done,Completed site visit before booking conversion.
8008,1023,2026-01-10 17:45:00,done,Completed site visit; lead moved to Visit Done.
8009,1024,2026-01-11 10:00:00,done,Completed site visit; buyer moved into final negotiation.
8010,1025,2026-01-12 11:15:00,done,Completed site visit before booking conversion.
8011,1032,2026-01-13 12:30:00,done,Completed site visit; lead moved to Visit Done.
8012,1033,2026-01-14 13:45:00,done,Completed site visit; buyer moved into final negotiation.
8013,1034,2026-01-15 14:00:00,done,Completed site visit before booking conversion.
8014,1041,2026-01-16 15:15:00,done,Completed site visit; lead moved to Visit Done.
8015,1042,2026-01-17 16:30:00,done,Completed site visit; buyer moved into final negotiation.
8016,1043,2026-01-18 17:45:00,done,Completed site visit before booking conversion.
8017,1050,2026-01-19 10:00:00,done,Completed site visit; lead moved to Visit Done.
8018,1051,2026-01-20 11:15:00,done,Completed site visit; buyer moved into final negotiation.
8019,1052,2026-01-21 12:30:00,done,Completed site visit before booking conversion.
8020,1059,2026-01-22 13:45:00,done,Completed site visit; lead moved to Visit Done.
8021,1060,2026-01-23 14:00:00,done,Completed site visit; buyer moved into final negotiation.
8022,1061,2026-01-24 15:15:00,done,Completed site visit before booking conversion.
8023,1068,2026-01-25 16:30:00,done,Completed site visit; lead moved to Visit Done.
8024,1069,2026-01-26 17:45:00,done,Completed site visit; buyer moved into final negotiation.
8025,1070,2026-01-27 10:00:00,done,Completed site visit before booking conversion.
8026,1077,2026-01-28 11:15:00,done,Completed site visit; lead moved to Visit Done.
8027,1078,2026-01-29 12:30:00,done,Completed site visit; buyer moved into final negotiation.
8028,1079,2026-01-30 13:45:00,done,Completed site visit before booking conversion.
8029,1086,2026-01-31 14:00:00,done,Completed site visit; lead moved to Visit Done.
8030,1087,2026-02-01 15:15:00,done,Completed site visit; buyer moved into final negotiation.
8031,1088,2026-02-02 16:30:00,done,Completed site visit before booking conversion.
8032,1095,2026-02-03 17:45:00,done,Completed site visit; lead moved to Visit Done.
8033,1096,2026-02-04 10:00:00,done,Completed site visit; buyer moved into final negotiation.
8034,1097,2026-02-05 11:15:00,done,Completed site visit before booking conversion.
8035,1104,2026-02-06 12:30:00,done,Completed site visit; lead moved to Visit Done.
8036,1105,2026-02-07 13:45:00,done,Completed site visit; buyer moved into final negotiation.
8037,1106,2026-02-08 14:00:00,done,Completed site visit before booking conversion.
8038,1113,2026-02-09 15:15:00,done,Completed site visit; lead moved to Visit Done.
8039,1114,2026-02-10 16:30:00,done,Completed site visit; buyer moved into final negotiation.
8040,1115,2026-02-11 17:45:00,done,Completed site visit before booking conversion.
8041,1122,2026-02-12 10:00:00,done,Completed site visit; lead moved to Visit Done.
8042,1123,2026-02-13 11:15:00,done,Completed site visit; buyer moved into final negotiation.
8043,1124,2026-02-14 12:30:00,done,Completed site visit before booking conversion.
8044,1131,2026-02-15 13:45:00,done,Completed site visit; lead moved to Visit Done.
8045,1132,2026-02-16 14:00:00,done,Completed site visit; buyer moved into final negotiation.
8046,1133,2026-02-17 15:15:00,done,Completed site visit before booking conversion.
8047,1140,2026-02-18 16:30:00,done,Completed site visit; lead moved to Visit Done.
8048,1141,2026-02-19 17:45:00,done,Completed site visit; buyer moved into final negotiation.
8049,1142,2026-02-20 10:00:00,done,Completed site visit before booking conversion.
8050,1149,2026-02-21 11:15:00,done,Completed site visit; lead moved to Visit Done.
8051,1150,2026-02-22 12:30:00,done,Completed site visit; buyer moved into final negotiation.
8052,1151,2026-02-23 13:45:00,done,Completed site visit before booking conversion.
8053,1158,2026-02-24 14:00:00,done,Completed site visit; lead moved to Visit Done.
8054,1159,2026-02-25 15:15:00,done,Completed site visit; buyer moved into final negotiation.
8055,1160,2026-02-26 16:30:00,done,Completed site visit before booking conversion.
8056,1167,2026-02-27 17:45:00,done,Completed site visit; lead moved to Visit Done.
8057,1168,2026-02-28 10:00:00,done,Completed site visit; buyer moved into final negotiation.
8058,1169,2026-03-01 11:15:00,done,Completed site visit before booking conversion.
8059,1176,2026-03-02 12:30:00,done,Completed site visit; lead moved to Visit Done.
8060,1177,2026-03-03 13:45:00,done,Completed site visit; buyer moved into final negotiation.
8061,1178,2026-03-04 14:00:00,done,Completed site visit before booking conversion.
8062,1185,2026-03-05 15:15:00,done,Completed site visit; lead moved to Visit Done.
8063,1186,2026-03-06 16:30:00,done,Completed site visit; buyer moved into final negotiation.
8064,1187,2026-03-07 17:45:00,done,Completed site visit before booking conversion.
8065,1194,2026-03-08 10:00:00,done,Completed site visit; lead moved to Visit Done.
8066,1195,2026-03-09 11:15:00,done,Completed site visit; buyer moved into final negotiation.
8067,1196,2026-03-10 12:30:00,done,Completed site visit before booking conversion.
8068,1203,2026-03-11 13:45:00,done,Completed site visit; lead moved to Visit Done.
8069,1204,2026-03-12 14:00:00,done,Completed site visit; buyer moved into final negotiation.
8070,1205,2026-03-13 15:15:00,done,Completed site visit before booking conversion.
8071,1212,2026-03-14 16:30:00,done,Completed site visit; lead moved to Visit Done.
8072,1213,2026-03-15 17:45:00,done,Completed site visit; buyer moved into final negotiation.
8073,1214,2026-03-16 10:00:00,done,Completed site visit before booking conversion.
8074,1221,2026-03-17 11:15:00,done,Completed site visit; lead moved to Visit Done.
8075,1222,2026-03-18 12:30:00,done,Completed site visit; buyer moved into final negotiation.
8076,1223,2026-03-19 13:45:00,done,Completed site visit before booking conversion.
8077,1230,2026-03-20 14:00:00,done,Completed site visit; lead moved to Visit Done.
8078,1231,2026-03-21 15:15:00,done,Completed site visit; buyer moved into final negotiation.
8079,1232,2026-03-22 16:30:00,done,Completed site visit before booking conversion.
8080,1239,2026-03-23 17:45:00,done,Completed site visit; lead moved to Visit Done.
8081,1240,2026-03-24 10:00:00,done,Completed site visit; buyer moved into final negotiation.
8082,1241,2026-03-25 11:15:00,done,Completed site visit before booking conversion.
8083,1248,2026-03-26 12:30:00,done,Completed site visit; lead moved to Visit Done.
8084,1249,2026-03-27 13:45:00,done,Completed site visit; buyer moved into final negotiation.
8085,1250,2026-03-28 14:00:00,done,Completed site visit before booking conversion.
8086,1257,2026-03-29 15:15:00,done,Completed site visit; lead moved to Visit Done.
8087,1258,2026-03-30 16:30:00,done,Completed site visit; buyer moved into final negotiation.
8088,1259,2026-03-31 17:45:00,done,Completed site visit before booking conversion.
8089,1266,2026-04-01 10:00:00,done,Completed site visit; lead moved to Visit Done.
8090,1267,2026-04-02 11:15:00,done,Completed site visit; buyer moved into final negotiation.
8091,1268,2026-04-03 12:30:00,done,Completed site visit before booking conversion.
8092,1275,2026-04-04 13:45:00,done,Completed site visit; lead moved to Visit Done.
8093,1276,2026-04-05 14:00:00,done,Completed site visit; buyer moved into final negotiation.
8094,1277,2026-04-06 15:15:00,done,Completed site visit before booking conversion.
8095,1284,2026-04-07 16:30:00,done,Completed site visit; lead moved to Visit Done.
8096,1285,2026-04-08 17:45:00,done,Completed site visit; buyer moved into final negotiation.
8097,1286,2026-04-09 10:00:00,done,Completed site visit before booking conversion.
8098,1293,2026-04-10 11:15:00,done,Completed site visit; lead moved to Visit Done.
8099,1294,2026-04-11 12:30:00,done,Completed site visit; buyer moved into final negotiation.
8100,1295,2026-04-12 13:45:00,done,Completed site visit before booking conversion.
8101,1302,2026-04-13 14:00:00,done,Completed site visit; lead moved to Visit Done.
8102,1303,2026-04-14 15:15:00,done,Completed site visit; buyer moved into final negotiation.
8103,1304,2026-04-15 16:30:00,done,Completed site visit before booking conversion.
8104,1311,2026-04-16 17:45:00,done,Completed site visit; lead moved to Visit Done.
8105,1312,2026-04-17 10:00:00,done,Completed site visit; buyer moved into final negotiation.
8106,1313,2026-04-18 11:15:00,done,Completed site visit before booking conversion.
8107,1320,2026-04-19 12:30:00,done,Completed site visit; lead moved to Visit Done.
8108,1321,2026-04-20 13:45:00,done,Completed site visit; buyer moved into final negotiation.
8109,1322,2026-04-21 14:00:00,done,Completed site visit before booking conversion.
8110,1329,2026-04-22 15:15:00,done,Completed site visit; lead moved to Visit Done.
